id,name,latitude,longitude,elevation
GHCND:CA006110859,"BRADFORD BROWN, CA",44.15,-79.5667,293.0
GHCND:CA006118848,"TOTTENHAM, CA",44.0333,-79.8167,251.0
GHCND:CA006118849,"TOTTENHAM PEARSON, CA",44.0167,-79.8,259.0
GHCND:CA006150100,"ALBION, CA",43.9333,-79.8333,274.0
GHCND:CA006150103,"ALBION FIELD CENTRE, CA",43.9167,-79.8333,282.0
GHCND:CA006150224,"ALLOA, CA",43.7167,-79.8667,262.0
GHCND:CA006150395,"AURORA, CA",43.95,-79.4,270.0
GHCND:CA006150396,"AURORA MOE, CA",44.0167,-79.4667,259.0
GHCND:CA006150397,"AURORA PAYMENT, CA",43.9833,-79.4667,282.0
GHCND:CA006150398,"AURORA NE, CA",44.0167,-79.45,260.0
GHCND:CA006150460,"BALLANTRAE, CA",44.05,-79.3,328.0
GHCND:CA006150825,"BOLTON SPS, CA",43.8833,-79.7333,213.0
GHCND:CA006150857,"BRADFORD, CA",44.1,-79.5,221.0
GHCND:CA006150858,"BRADFORD 2, CA",44.1167,-79.5333,221.0
GHCND:CA006150860,"BRADFORD HIGH SCHOOL, CA",44.1167,-79.5,252.0
GHCND:CA006150863,"BRADFORD MUCK RESEARCH, CA",44.0333,-79.6,221.0
GHCND:CA006150865,"BRADFORD OAC, CA",44.1,-79.6,244.0
GHCND:CA006150866,"BRADFORD ODA, CA",44.1167,-79.55,221.0
GHCND:CA006150867,"BRADFORD SPRINGDALE, CA",44.0333,-79.6167,221.0
GHCND:CA006150898,"BRAMALEA, CA",43.6833,-79.7167,206.0
GHCND:CA006150913,"BRAMPTON, CA",43.7,-79.7667,221.0
GHCND:CA006150914,"BRAMPTON AIRPORT, CA",43.7667,-79.8833,274.0
GHCND:CA006150916,"BRAMPTON MOE, CA",43.6667,-79.7,183.0
GHCND:CA006150997,"BRODDYTOWN, CA",43.6167,-79.6,145.0
GHCND:CA006151000,"BROUGHAM, CA",43.9167,-79.1167,198.0
GHCND:CA006151057,"BURLINGTON ELIZABETH GDN, CA",43.3667,-79.7333,84.0
GHCND:CA006151065,"BURNHAMTHORPE, CA",43.6167,-79.6,145.0
GHCND:CA006151079,"CALEDON, CA",43.8667,-79.9333,384.0
